City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Bilma,NE,18.6853,12.9164,68.83,10,0,10.29,clear sky
154,Lorengau,PG,-2.0226,147.2712,81.01,81,100,5.5,overcast clouds
155,Sao Filipe,CV,14.8961,-24.4956,73.0,74,1,7.25,clear sky
156,Kisangani,CD,0.5167,25.2,79.56,32,39,2.44,scattered clouds
157,Lebu,CL,-37.6167,-73.65,66.15,73,6,14.67,clear sky
158,Narsaq,GL,60.9167,-46.05,8.08,54,100,31.65,overcast clouds
159,Vardo,NO,70.3705,31.1107,25.0,86,40,17.27,scattered clouds
160,Kruisfontein,ZA,-34.0033,24.7314,65.88,55,77,3.22,broken clouds
161,Kholmogory,RU,64.2229,41.656,17.71,96,74,5.99,broken clouds
162,Yurty,RU,56.0498,97.6348,11.19,94,100,7.11,overcast clouds
163,Itaunja,IN,27.0833,80.9167,57.18,67,0,3.13,clear sky
164,Gospic,HR,44.5461,15.3747,42.49,61,17,13.42,few clouds
165,Gemena,CD,3.25,19.7667,78.15,25,24,2.89,few clouds
166,Cuiluan,CN,47.72,128.648,-5.35,100,81,2.24,broken clouds
167,Tuatapere,NZ,-46.1333,167.6833,41.83,87,2,4.27,clear sky
168,Awjilah,LY,29.1081,21.2869,62.87,25,45,3.09,scattered clouds
169,Arcos De La Frontera,ES,36.7508,-5.8106,65.03,61,1,5.99,clear sky
170,General Roca,AR,-39.0333,-67.5833,86.4,15,0,15.97,clear sky
171,Khatanga,RU,71.9667,102.5,-23.89,99,99,8.57,overcast clouds
172,Maniitsoq,GL,65.4167,-52.9,2.03,86,100,17.4,overcast clouds
173,Auki,SB,-8.7676,160.7034,79.09,88,100,7.94,overcast clouds
174,Namibe,AO,-15.1961,12.1522,74.03,75,67,12.01,broken clouds
175,Muisne,EC,0.6,-80.0333,75.31,72,82,6.11,broken clouds
176,Avera,US,33.194,-82.5271,43.75,71,100,7.78,overcast clouds
177,East London,ZA,-33.0153,27.9116,76.14,88,0,12.66,clear sky
178,Luderitz,NA,-26.6481,15.1594,76.21,63,5,8.1,clear sky
179,Asau,RO,46.4333,26.4,45.52,75,100,3.51,overcast clouds
180,Orsha,BY,54.5153,30.4053,32.9,86,96,9.75,overcast clouds
181,Cherskiy,RU,68.75,161.3,-33.97,100,41,2.17,scattered clouds
182,Birin,NP,26.8865,88.0718,43.0,81,82,1.05,broken clouds
183,Mahanje,TZ,-9.9333,35.3333,64.81,95,98,3.83,light rain
184,Kyshtovka,RU,56.555,76.6271,3.69,94,31,8.41,scattered clouds
185,Katsuura,JP,35.1333,140.3,42.19,55,66,6.82,broken clouds
186,Kahone,SN,14.15,-16.0333,104.27,10,0,6.91,clear sky
187,Bethal,ZA,-26.4579,29.4655,60.55,71,83,6.6,broken clouds
188,Udachnyy,RU,66.4167,112.4,-21.78,100,99,4.65,overcast clouds
189,Tiksi,RU,71.6872,128.8694,-24.0,99,85,6.78,overcast clouds
190,Hovd,MN,48.0056,91.6419,-12.37,74,6,2.82,clear sky
191,Saldanha,ZA,-33.0117,17.9442,75.25,94,35,13.69,scattered clouds
192,Yuanping,CN,38.7153,112.7575,25.68,34,18,3.47,few clouds
193,Trelleborg,SE,55.3751,13.1569,40.95,79,17,19.89,few clouds
194,Coihaique,CL,-45.5752,-72.0662,77.61,31,0,11.5,clear sky
195,Waipawa,NZ,-41.4122,175.5153,59.63,96,100,4.85,overcast clouds
196,Sungaipenuh,ID,-2.0833,101.3833,63.57,88,98,1.83,overcast clouds
197,Gravdal,NO,68.1214,13.5031,28.29,100,40,4.61,scattered clouds
198,Leningradskiy,RU,69.3833,178.4167,-29.63,98,19,5.1,few clouds
199,Levelland,US,33.5873,-102.378,45.19,29,3,6.78,clear sky
200,Kargasok,RU,59.0556,80.8572,-9.2,100,36,4.63,scattered clouds
201,Bowen,AU,-20.0167,148.2333,70.02,76,79,9.48,broken clouds
202,Alekseyevsk,RU,57.8406,108.3492,9.39,97,100,4.9,light snow
203,Fukue,JP,32.6881,128.8419,43.36,64,100,9.73,light rain
204,Port Elizabeth,ZA,-33.918,25.5701,71.89,78,0,5.75,clear sky
205,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,5.75,light rain
206,Taua,BR,-5.9667,-40.3,91.42,35,85,5.88,overcast clouds
207,Champerico,GT,14.3,-91.9167,90.14,60,18,8.48,few clouds
208,Thurles,IE,52.6819,-7.8022,51.98,82,100,16.13,overcast clouds
209,Nantucket,US,41.2835,-70.0995,46.96,86,100,12.82,overcast clouds
210,Chapleau,CA,47.8405,-83.4034,10.49,79,100,8.05,overcast clouds
211,Lasa,IT,46.6166,10.7002,40.91,94,72,9.28,broken clouds
212,Tautira,PF,-17.7333,-149.15,80.62,75,100,19.08,overcast clouds
213,Baghdad,IQ,33.3406,44.4009,55.31,41,0,4.61,clear sky
214,Mwinilunga,ZM,-11.7358,24.4293,63.61,95,100,3.87,overcast clouds
215,Kupang,ID,-10.1667,123.5833,78.49,84,97,3.09,overcast clouds
216,Nome,US,64.5011,-165.4064,-23.58,94,7,8.19,clear sky
217,Metro,ID,-5.1131,105.3067,75.22,89,95,3.4,overcast clouds
218,Vanderhoof,CA,54.0166,-124.0198,39.38,70,81,18.68,broken clouds
219,Guerrero Negro,MX,27.9769,-114.0611,68.09,26,0,2.8,clear sky
220,Ilulissat,GL,69.2167,-51.1,10.42,67,100,20.71,overcast clouds
221,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,72,71,8.03,broken clouds
222,Comodoro Rivadavia,AR,-45.8667,-67.5,89.46,19,0,12.66,clear sky
223,Port Blair,IN,11.6667,92.75,78.84,78,40,8.05,mist
224,Mahebourg,MU,-20.4081,57.7,79.09,83,75,5.75,broken clouds
225,Sangar,RU,63.9242,127.4739,-31.85,99,100,1.72,overcast clouds
226,Sola,VU,-13.8833,167.55,82.06,85,100,28.45,overcast clouds
227,Salalah,OM,17.0151,54.0924,73.17,27,4,12.55,clear sky
228,At-Bashi,KG,41.1702,75.8106,10.13,71,96,3.78,overcast clouds
229,Rio Grande,BR,-32.035,-52.0986,80.71,54,13,19.19,few clouds
230,Guarapari,BR,-20.6667,-40.4975,85.89,70,33,20.07,scattered clouds
231,Siparia,TT,10.1333,-61.5,89.82,81,37,4.0,scattered clouds
232,Faya,SA,18.3851,42.4509,57.31,76,15,2.84,few clouds
233,Harper,LR,4.375,-7.7169,81.07,75,99,9.24,overcast clouds
234,Sitka,US,57.0531,-135.33,39.09,81,100,9.22,overcast clouds
235,Itacare,BR,-14.2775,-38.9967,87.69,67,32,6.04,scattered clouds
236,Lazo,RU,43.3817,133.9014,2.32,95,9,5.28,clear sky
237,Lydenburg,ZA,-25.0978,30.4597,63.27,81,17,4.72,few clouds
238,Malmesbury,ZA,-33.4608,18.7271,72.93,68,53,7.29,broken clouds
239,Clyde River,CA,70.4692,-68.5914,-36.17,67,0,4.61,clear sky
240,Nabire,ID,-3.3667,135.4833,76.32,90,97,2.93,moderate rain
241,Hasaki,JP,35.7333,140.8333,34.29,53,94,1.57,light snow
242,Hereford,GB,52.0568,-2.7148,53.01,86,85,20.94,overcast clouds
243,Porto Novo,BJ,6.4965,2.6036,85.82,76,61,9.04,broken clouds
244,Nuuk,GL,64.1835,-51.7216,0.88,84,100,13.0,overcast clouds
245,Marfino,RU,55.7028,37.3822,32.16,90,75,8.95,snow
246,Martinsburg,US,39.4562,-77.9639,43.02,47,45,0.81,scattered clouds
247,Roma,US,43.2128,-75.4557,39.09,63,100,3.0,overcast clouds
248,Royal Tunbridge Wells,GB,51.1325,0.2633,49.19,83,57,13.11,broken clouds
249,Kavieng,PG,-2.5744,150.7967,81.52,77,91,6.69,overcast clouds
250,Dhadar,IN,28.3305,75.0632,65.55,46,75,7.94,broken clouds
251,Alibag,IN,18.6411,72.8792,73.47,81,41,6.6,scattered clouds
252,Alice Springs,AU,-23.7,133.8833,67.55,77,20,0.0,few clouds
253,San Patricio,US,28.017,-97.5169,63.18,43,37,14.07,scattered clouds
254,Hualmay,PE,-11.0964,-77.6139,75.99,67,55,11.05,broken clouds
255,Kangaatsiaq,GL,68.3065,-53.4641,-8.39,98,100,16.6,overcast clouds
256,Newport,GB,51.5877,-2.9984,52.16,92,95,1.99,overcast clouds
257,Ust-Tsilma,RU,65.441,52.1498,10.18,94,95,6.49,overcast clouds
258,Lima,PE,-12.0432,-77.0282,78.91,59,0,5.99,clear sky
259,Kampot,KH,10.6167,104.1833,77.05,72,73,5.59,broken clouds
260,Puqi,CN,29.7167,113.8833,33.49,99,100,2.57,overcast clouds
261,White Rock,CA,49.0164,-122.8026,51.3,87,84,20.0,broken clouds
262,Kirakira,SB,-10.4544,161.9205,80.33,87,100,10.98,light rain
263,Mutsu,JP,41.2894,141.2169,25.0,86,95,4.79,overcast clouds
264,Brae,GB,60.3964,-1.353,44.51,90,100,26.57,overcast clouds
265,The Valley,AI,18.217,-63.0578,82.26,61,20,16.11,few clouds
266,Constitucion,CL,-35.3333,-72.4167,70.29,62,44,6.33,scattered clouds
267,Rio Gallegos,AR,-51.6226,-69.2181,82.45,20,0,20.71,clear sky
268,Kyzyl-Suu,KG,42.3414,78.0056,18.59,61,29,10.16,scattered clouds
269,Kon Tum,VN,14.35,108.0,65.08,96,28,2.42,scattered clouds
270,Vostok,RU,46.4856,135.8833,-5.21,99,100,3.67,overcast clouds
271,Tiznit,MA,29.5833,-9.5,70.75,16,33,6.26,scattered clouds
272,El Tigre,VE,8.8875,-64.2454,90.0,39,78,10.42,broken clouds
273,Korla,CN,41.7597,86.1469,25.5,43,92,3.83,overcast clouds
274,Minab,IR,27.1467,57.0801,67.5,72,0,0.0,haze
275,Birao,CF,10.2849,22.7882,72.0,12,0,6.58,clear sky
276,Honningsvag,NO,70.9821,25.9704,28.33,76,91,15.61,overcast clouds
277,Lahaina,US,20.8783,-156.6825,74.8,82,2,9.93,clear sky
278,San Andres,CO,12.5847,-81.7006,82.42,65,40,12.66,scattered clouds
279,Huarmey,PE,-10.0681,-78.1522,75.63,70,86,10.56,overcast clouds
280,Vanimo,PG,-2.6741,141.3028,77.72,85,100,2.8,overcast clouds
281,Teluk Nibung,ID,3.001,99.8164,76.33,90,100,5.23,overcast clouds
282,Acarau,BR,-2.8856,-40.12,87.4,59,68,15.68,broken clouds
283,Saskylakh,RU,71.9167,114.0833,-22.45,97,70,7.47,broken clouds
284,Orebro,SE,59.2741,15.2066,35.78,64,0,5.75,clear sky
285,Vilyuysk,RU,63.7553,121.6247,-35.82,99,99,2.86,overcast clouds
